epoch;acc;loss
0;0.45949959504902116;1.6486834415013174
1;0.4774343177457414;1.6037628365655594
2;0.4859909089622529;1.584263761321777
3;0.4933103637656518;1.5687322104976613
4;0.5023395167601539;1.5501236205318323
5;0.5136563107054043;1.526830782641339
6;0.5285713119666863;1.495357084401586
7;0.5426227664383779;1.4655587692470777
8;0.5486550711482234;1.4530865237034414
9;0.5468863434689427;1.4578585726719429
0;0.4592564010062448;1.6490027129835754
1;0.4771643245636163;1.60424807799383
2;0.4858240311715423;1.584681562570276
3;0.49315243971171263;1.569106186799355
4;0.5021741131548735;1.5505361167358471
5;0.5135017074481186;1.5271347419278936
6;0.5284050859211132;1.4957856984963778
7;0.542739847797027;1.4652456595659302
8;0.5488924925912095;1.4525054156920418
9;0.5471145784090368;1.457311320235162
