epoch;1_acc;1_loss;2_acc;2_loss;3_acc;3_loss;loss
0;0.5635848482725234;1.8096269665893159;0.42589570646911945;1.812417601175097;0.5635848482725234;0.02911766050787161;2.136457030354254
1;0.5783046800686235;1.7821838944190578;0.43734566623352356;1.7842391658726715;0.5783046800686235;0.026438860417592865;2.0928021136274935
2;0.5834025380274154;1.7727124469729607;0.441193394143226;1.7742014539389204;0.5834025380274154;0.025534645393936267;2.077805819921575
3;0.5858807030506862;1.7678697326452548;0.44322169547917517;1.768990690916481;0.5858807030506862;0.025062140032045623;2.0700795032971904
4;0.5877601114494156;1.7645234038833366;0.444651903706346;1.765423292827956;0.5877601114494156;0.024735366433295953;2.0647425650902327
5;0.589038839027891;1.7621499635000757;0.44561413426586494;1.7628343559215374;0.589038839027891;0.02450361542726668;2.0609514751517266
6;0.590086132308228;1.7602263264138343;0.44648267639964667;1.7607004186157493;0.590086132308228;0.024314154405716337;2.057867140983139
7;0.5909259442094714;1.758680586711854;0.4471713394100761;1.759010273601264;0.5909259442094714;0.02416220964148351;2.055392662424937
8;0.5916431383977103;1.7574282061844713;0.4477006922858065;1.7576026086461238;0.5916431383977103;0.024039819569078004;2.0533875639889936
9;0.592255629798546;1.756350438836833;0.4481670775156271;1.7563740942915231;0.592255629798546;0.023933659356382572;2.051656145912779
