epoch;acc;loss
0;0.542750239440613;2.1757738428765454
1;0.5569452657798803;2.0997153243654685
2;0.5605911751134083;2.080622588007595
3;0.5627360806043663;2.0695000082862323
4;0.5641680742702702;2.062250958742337
5;0.5651835668699312;2.057033237797081
6;0.5659929389419237;2.053038457868296
7;0.5665513303714057;2.0498876386352065
8;0.5669991415178023;2.0473065745325654
9;0.5674398126459204;2.0452061405494972
0;0.5951929236938847;1.8782156744552712
1;0.6149654143114607;1.7738728666296752
2;0.6221559827193157;1.7381680580573966
3;0.6265776840388712;1.7167536877849485
4;0.6295783317205292;1.7024007599428204
5;0.6317041571626424;1.6921719635324923
6;0.6333749814399525;1.6843221283368166
7;0.6346944448177787;1.6782056790556594
8;0.635779067594413;1.6732637295048545
9;0.6366590098470652;1.6691621794907263
